t_s,speed_kmh
156.74,72.0
156.94,71.0
157.14,70.0
157.34,71.0
157.54,72.0
157.74,73.0
157.94,75.0
158.14,79.0
158.34,82.0
158.54,86.0
158.74,90.0
158.94,95.0
159.34,105.0
159.54,108.0
159.74,110.0
160.14,114.0
160.34,116.0
160.54,118.0
160.94,124.0
161.14,129.0
161.34,134.0
161.54,139.0
161.74,145.0
161.94,149.0
162.34,160.0
162.54,166.0
162.74,172.0
163.14,182.0
163.34,188.0
163.54,193.0
163.94,202.0
164.14,206.0
164.34,209.0
164.54,208.0
164.74,204.0
164.94,199.0
165.54,196.0
165.74,194.0
165.94,190.0
166.14,186.0
166.34,180.0
166.54,174.0
166.94,160.0
167.34,148.0
167.74,132.0
168.14,124.0
168.34,120.0
168.54,118.0
169.14,110.0
169.34,109.0
169.54,109.0
169.74,109.0
170.34,114.0
170.74,116.0
170.94,118.0
171.14,122.0
171.74,130.0
171.94,133.0
172.34,140.0
172.54,144.0
172.74,148.0
173.34,158.0
173.74,144.0
174.14,129.0
174.54,120.0
174.94,114.0
175.34,110.0
175.54,109.0
175.74,109.0
176.54,118.0
176.74,120.0
176.94,122.0
177.34,130.0
177.54,134.0
177.74,140.0
177.94,145.0
178.34,156.0
179.14,176.0
179.34,180.0
179.54,184.0
179.74,189.0
179.94,192.0
180.34,201.0
180.54,206.0
180.94,215.0
181.14,218.0
181.34,222.0
181.54,225.0
181.74,228.0
181.94,230.0
182.14,234.0
182.34,237.0
182.54,240.0
182.74,242.0
182.94,241.0
183.14,240.0
183.34,238.0
183.54,237.0
183.74,236.0
183.94,233.0
184.14,230.0
184.34,227.0
184.54,223.0
184.74,220.0
184.94,218.0
185.14,217.0
185.34,216.0
185.54,215.0
185.74,217.0
185.94,216.0
186.14,216.0
186.34,217.0
186.54,218.0
186.74,219.0
186.94,217.0
187.14,212.0
187.34,204.0
187.54,196.0
187.74,188.0
187.94,178.0
188.14,172.0
188.94,145.0
189.14,139.0
189.34,132.0
190.74,110.0
190.94,110.0
191.54,109.0
191.94,104.0
192.14,103.0
192.34,104.0
192.54,106.0
192.74,110.0
192.94,114.0
193.14,118.0
193.34,122.0
193.74,130.0
193.94,133.0
194.14,136.0
194.34,138.0
194.74,145.0
194.94,149.0
195.34,156.0
195.54,160.0
195.74,165.0
195.94,170.0
196.34,179.0
196.94,190.0
197.14,195.0
197.34,198.0
197.54,203.0
197.74,206.0
197.94,210.0
198.14,212.0
198.34,215.0
198.54,218.0
198.74,221.0
198.94,225.0
199.14,225.0
199.34,224.0
199.54,223.0
199.74,222.0
199.94,220.0
200.14,219.0
200.34,218.0
200.54,217.0
200.74,217.0
200.94,217.0
201.14,217.0
201.34,217.0
201.54,217.0
201.74,217.0
201.94,218.0
202.14,219.0
202.34,221.0
202.54,223.0
202.74,226.0
202.94,228.0
203.14,231.0
203.34,233.0
203.54,236.0
203.74,238.0
203.94,239.0
204.14,242.0
204.34,244.0
204.54,246.0
204.74,247.0
204.94,247.0
205.14,248.0
205.34,248.0
205.54,248.0
205.74,246.0
205.94,244.0
206.14,244.0
206.34,243.0
206.54,244.0
206.74,243.0
206.94,242.0
207.14,241.0
207.34,240.0
207.54,239.0
207.74,238.0
207.94,238.0
208.14,239.0
208.34,239.0
208.54,241.0
208.74,243.0
208.94,244.0
209.14,246.0
209.34,248.0
209.54,250.0
209.74,252.0
209.94,254.0
210.14,256.0
210.34,259.0
210.54,261.0
210.74,263.0
210.94,264.0
211.14,266.0
211.34,267.0
211.54,270.0
211.74,272.0
211.94,272.0
212.14,275.0
212.34,277.0
212.54,278.0
212.74,279.0
212.94,281.0
213.14,283.0
213.34,284.0
213.54,285.0
213.74,287.0
213.94,286.0
214.14,284.0
214.34,280.0
214.54,277.0
214.74,274.0
214.94,269.0
215.14,265.0
215.34,262.0
215.54,260.0
215.74,259.0
215.94,258.0
216.14,257.0
216.34,257.0
216.54,255.0
216.74,255.0
216.94,254.0
217.14,253.0
217.34,252.0
217.54,254.0
217.74,254.0
217.94,255.0
218.14,257.0
218.34,259.0
218.54,261.0
218.74,260.0
218.94,259.0
219.14,254.0
219.34,247.0
219.54,237.0
219.74,230.0
219.94,224.0
220.14,214.0
220.34,210.0
220.54,203.0
220.74,198.0
220.94,193.0
221.54,185.0
221.94,182.0
222.14,180.0
222.34,178.0
222.54,178.0
222.74,178.0
222.94,179.0
223.14,180.0
223.34,182.0
223.54,184.0
223.74,186.0
223.94,188.0
224.34,193.0
224.74,199.0
224.94,200.0
225.14,202.0
225.34,205.0
225.54,208.0
225.94,215.0
226.14,219.0
226.34,222.0
226.54,225.0
226.74,227.0
226.94,228.0
227.14,230.0
227.34,227.0
227.54,223.0
227.74,218.0
227.94,213.0
228.14,208.0
228.34,205.0
228.54,201.0
228.74,198.0
228.94,192.0
229.14,189.0
229.54,186.0
229.74,185.0
229.94,184.0
230.14,185.0
230.34,186.0
230.54,188.0
230.94,195.0
231.14,198.0
231.34,201.0
231.54,204.0
231.74,207.0
231.94,210.0
232.14,212.0
232.34,215.0
232.54,217.0
232.94,204.0
233.14,198.0
233.54,185.0
233.74,178.0
233.94,172.0
234.14,165.0
234.34,158.0
234.74,143.0
234.94,136.0
235.14,130.0
235.74,108.0
235.94,103.0
236.14,99.0
236.34,95.0
236.54,91.0
236.74,87.0
236.94,85.0
237.14,83.0
237.34,81.0
237.54,79.0
237.74,78.0
237.94,80.0
238.14,83.0
238.34,84.0
238.54,87.0
238.74,89.0
238.94,93.0
239.14,96.0
239.54,105.0
239.74,110.0
239.94,114.0
240.14,118.0
240.34,122.0
240.54,126.0
240.94,135.0
241.14,139.0
241.34,144.0
241.54,148.0
241.94,158.0
242.34,166.0
242.74,174.0
243.14,179.0
243.34,180.0
243.94,190.0
244.14,194.0
244.54,194.0
244.74,188.0
245.14,174.0
245.34,168.0
245.94,144.0
246.14,136.0
246.34,128.0
246.54,120.0
247.14,102.0
247.34,97.0
247.54,94.0
247.74,92.0
247.94,90.0
248.14,89.0
248.34,88.0
248.54,86.0
248.74,85.0
248.94,85.0
249.14,85.0
249.34,86.0
249.54,86.0
249.74,85.0
249.94,85.0
250.14,86.0
250.34,86.0
250.54,86.0
250.74,86.0
250.94,87.0
251.14,87.0
251.34,88.0
251.54,88.0
251.74,90.0
251.94,95.0
252.14,100.0
252.34,102.0
252.54,108.0
253.34,126.0
253.74,133.0
253.94,137.0
254.34,144.0
254.54,148.0
254.94,156.0
255.74,168.0
256.14,174.0
256.34,177.0
256.54,179.0
256.74,183.0
256.94,186.0
257.14,189.0
257.34,192.0
257.54,195.0
257.74,198.0
257.94,202.0
258.14,205.0
258.34,208.0
258.54,212.0
258.74,212.0
259.14,207.0
259.34,203.0
259.54,198.0
259.74,193.0
259.94,189.0
260.34,185.0
260.94,179.0
261.14,176.0
261.34,175.0
261.54,176.0
261.74,176.0
261.94,178.0
262.14,177.0
262.34,179.0
262.74,182.0
262.94,185.0
263.34,190.0
263.74,190.0
263.94,182.0
264.14,174.0
265.14,149.0
265.54,146.0
265.74,146.0
265.94,145.0
266.14,143.0
266.34,140.0
266.54,138.0
266.74,138.0
266.94,139.0
267.14,140.0
267.34,143.0
267.54,143.0
267.94,138.0
268.14,135.0
268.34,133.0
268.54,131.0
268.74,130.0
268.94,131.0
269.14,132.0
269.34,134.0
269.54,137.0
269.74,139.0
270.14,145.0
270.34,149.0
270.94,137.0
271.14,130.0
271.34,126.0
271.54,122.0
271.74,118.0
272.14,114.0
272.94,110.0
273.14,110.0
274.14,120.0
274.34,124.0
274.74,133.0
274.94,137.0
275.14,142.0
275.34,145.0
275.54,150.0
275.74,156.0
276.14,165.0
276.34,169.0
276.54,173.0
276.74,175.0
276.94,180.0
277.14,184.0
277.34,189.0
277.54,192.0
277.74,190.0
277.94,185.0
278.14,180.0
278.34,174.0
278.54,169.0
278.74,166.0
278.94,165.0
280.54,159.0
280.74,158.0
280.94,159.0
281.14,160.0
281.34,159.0
281.54,156.0
281.94,149.0
282.14,145.0
282.34,143.0
282.54,142.0
282.74,140.0
282.94,138.0
283.34,138.0
283.54,138.0
283.74,138.0
283.94,136.0
284.14,137.0
284.34,137.0
284.54,138.0
284.94,138.0
285.14,138.0
285.34,137.0
285.54,138.0
285.74,139.0
285.94,140.0
286.14,140.0
286.54,144.0
287.34,158.0
287.74,168.0
287.94,173.0
288.14,177.0
288.34,174.0
288.54,169.0
288.74,160.0
288.94,149.0
289.34,135.0
289.74,129.0
289.94,126.0
290.14,126.0
290.34,124.0
290.54,124.0
290.74,122.0
291.34,118.0
291.54,118.0
291.94,122.0
292.54,128.0
292.94,135.0
293.14,138.0
293.34,142.0
294.14,156.0
294.54,145.0
294.74,138.0
294.94,131.0
295.34,122.0
295.54,122.0
295.74,120.0
296.34,116.0
297.34,116.0
297.54,118.0
298.14,122.0
298.34,124.0
298.54,126.0
298.74,129.0
298.94,132.0
299.14,134.0
299.34,137.0
299.54,140.0
299.74,143.0
299.94,144.0
300.14,143.0
300.34,142.0
300.54,139.0
300.74,134.0
300.94,130.0
301.34,118.0
301.74,110.0
304.14,131.0
304.34,136.0
304.74,146.0
305.14,156.0
305.94,172.0
306.34,160.0
306.74,145.0
307.14,133.0
307.34,128.0
307.54,120.0
308.34,109.0
308.74,105.0
308.94,103.0
309.54,103.0
309.74,105.0
