filename,time,speed
Xiaomi SU7 Ultra20260819_145320.069.jpg,02:23.72,175
Xiaomi SU7 Ultra20260819_145321.068.jpg,02:24.72,155
Xiaomi SU7 Ultra20260819_145322.069.jpg,02:25.72,143
Xiaomi SU7 Ultra20260819_145323.068.jpg,02:26.72,140
Xiaomi SU7 Ultra20260819_145324.069.jpg,02:27.72,149
Xiaomi SU7 Ultra20260819_145325.068.jpg,02:28.72,163
Xiaomi SU7 Ultra20260819_145326.069.jpg,02:29.72,174
Xiaomi SU7 Ultra20260819_145327.068.jpg,02:30.72,191
Xiaomi SU7 Ultra20260819_145328.070.jpg,02:31.72,181
Xiaomi SU7 Ultra20260819_145329.069.jpg,02:32.72,144
Xiaomi SU7 Ultra20260819_145330.068.jpg,02:33.72,127
Xiaomi SU7 Ultra20260819_145331.069.jpg,02:34.72,109
Xiaomi SU7 Ultra20260819_145332.068.jpg,02:35.72,88
Xiaomi SU7 Ultra20260819_145333.069.jpg,02:36.72,72
Xiaomi SU7 Ultra20260819_145334.069.jpg,02:37.72,73
Xiaomi SU7 Ultra20260819_145335.069.jpg,02:38.72,90
Xiaomi SU7 Ultra20260819_145336.069.jpg,02:39.72,110
Xiaomi SU7 Ultra20260819_145337.069.jpg,02:40.72,121
Xiaomi SU7 Ultra20260819_145338.070.jpg,02:41.72,145
Xiaomi SU7 Ultra20260819_145339.069.jpg,02:42.72,172
Xiaomi SU7 Ultra20260819_145340.069.jpg,02:43.72,197
Xiaomi SU7 Ultra20260819_145341.070.jpg,02:44.72,204
Xiaomi SU7 Ultra20260819_145342.069.jpg,02:45.72,194
Xiaomi SU7 Ultra20260819_145343.068.jpg,02:46.72,167
Xiaomi SU7 Ultra20260819_145344.070.jpg,02:47.72,132
Xiaomi SU7 Ultra20260819_145345.075.jpg,02:48.72,115
Xiaomi SU7 Ultra20260819_145346.068.jpg,02:49.72,109
Xiaomi SU7 Ultra20260819_145347.070.jpg,02:50.72,116
Xiaomi SU7 Ultra20260819_145348.069.jpg,02:51.72,130
Xiaomi SU7 Ultra20260819_145349.072.jpg,02:52.72,148
Xiaomi SU7 Ultra20260819_145350.068.jpg,02:53.72,144
Xiaomi SU7 Ultra20260819_145351.072.jpg,02:54.72,117
Xiaomi SU7 Ultra20260819_145352.068.jpg,02:55.72,109
Xiaomi SU7 Ultra20260819_145353.068.jpg,02:56.72,120
Xiaomi SU7 Ultra20260819_145354.068.jpg,02:57.72,140
Xiaomi SU7 Ultra20260819_145355.070.jpg,02:58.72,167
Xiaomi SU7 Ultra20260819_145356.068.jpg,02:59.72,189
Xiaomi SU7 Ultra20260819_145357.068.jpg,03:00.72,211
Xiaomi SU7 Ultra20260819_145358.070.jpg,03:01.72,228
Xiaomi SU7 Ultra20260819_145359.068.jpg,03:02.72,242
Xiaomi SU7 Ultra20260819_145400.068.jpg,03:03.72,236
Xiaomi SU7 Ultra20260819_145401.068.jpg,03:04.72,220
Xiaomi SU7 Ultra20260819_145402.069.jpg,03:05.72,217
Xiaomi SU7 Ultra20260819_145403.070.jpg,03:06.72,219
Xiaomi SU7 Ultra20260819_145404.068.jpg,03:07.72,188
Xiaomi SU7 Ultra20260819_145405.068.jpg,03:08.72,152
Xiaomi SU7 Ultra20260819_145406.069.jpg,03:09.72,125
Xiaomi SU7 Ultra20260819_145407.066.jpg,03:10.72,110
Xiaomi SU7 Ultra20260819_145408.069.jpg,03:11.72,107
Xiaomi SU7 Ultra20260819_145409.067.jpg,03:12.72,110
Xiaomi SU7 Ultra20260819_145410.069.jpg,03:13.72,130
Xiaomi SU7 Ultra20260819_145411.068.jpg,03:14.72,145
Xiaomi SU7 Ultra20260819_145412.069.jpg,03:15.72,165
Xiaomi SU7 Ultra20260819_145413.068.jpg,03:16.72,187
Xiaomi SU7 Ultra20260819_145414.069.jpg,03:17.72,206
Xiaomi SU7 Ultra20260819_145415.068.jpg,03:18.72,221
Xiaomi SU7 Ultra20260819_145416.069.jpg,03:19.72,222
Xiaomi SU7 Ultra20260819_145417.067.jpg,03:20.72,217
Xiaomi SU7 Ultra20260819_145418.068.jpg,03:21.72,217
Xiaomi SU7 Ultra20260819_145419.068.jpg,03:22.72,226
Xiaomi SU7 Ultra20260819_145420.069.jpg,03:23.72,238
Xiaomi SU7 Ultra20260819_145421.068.jpg,03:24.72,247
Xiaomi SU7 Ultra20260819_145422.068.jpg,03:25.72,246
Xiaomi SU7 Ultra20260819_145423.068.jpg,03:26.72,243
Xiaomi SU7 Ultra20260819_145424.068.jpg,03:27.72,238
Xiaomi SU7 Ultra20260819_145425.071.jpg,03:28.72,243
Xiaomi SU7 Ultra20260819_145426.068.jpg,03:29.72,252
Xiaomi SU7 Ultra20260819_145427.075.jpg,03:30.72,263
Xiaomi SU7 Ultra20260819_145428.069.jpg,03:31.72,272
Xiaomi SU7 Ultra20260819_145429.068.jpg,03:32.72,279
Xiaomi SU7 Ultra20260819_145430.069.jpg,03:33.72,287
Xiaomi SU7 Ultra20260819_145431.070.jpg,03:34.72,274
Xiaomi SU7 Ultra20260819_145432.070.jpg,03:35.72,259
Xiaomi SU7 Ultra20260819_145433.068.jpg,03:36.72,255
Xiaomi SU7 Ultra20260819_145434.069.jpg,03:37.72,254
Xiaomi SU7 Ultra20260819_145435.068.jpg,03:38.72,260
Xiaomi SU7 Ultra20260819_145436.066.jpg,03:39.72,230
Xiaomi SU7 Ultra20260819_145437.066.jpg,03:40.72,198
Xiaomi SU7 Ultra20260819_145438.068.jpg,03:41.72,183
Xiaomi SU7 Ultra20260819_145439.065.jpg,03:42.72,178
Xiaomi SU7 Ultra20260819_145440.066.jpg,03:43.72,186
Xiaomi SU7 Ultra20260819_145441.070.jpg,03:44.72,199
Xiaomi SU7 Ultra20260819_145442.066.jpg,03:45.72,211
Xiaomi SU7 Ultra20260819_145443.071.jpg,03:46.72,227
Xiaomi SU7 Ultra20260819_145444.067.jpg,03:47.72,218
Xiaomi SU7 Ultra20260819_145445.067.jpg,03:48.72,198
Xiaomi SU7 Ultra20260819_145446.069.jpg,03:49.72,185
Xiaomi SU7 Ultra20260819_145447.069.jpg,03:50.72,191
Xiaomi SU7 Ultra20260819_145448.063.jpg,03:51.72,207
Xiaomi SU7 Ultra20260819_145449.063.jpg,03:52.72,211
Xiaomi SU7 Ultra20260819_145450.069.jpg,03:53.72,178
Xiaomi SU7 Ultra20260819_145451.070.jpg,03:54.72,143
Xiaomi SU7 Ultra20260819_145452.066.jpg,03:55.72,108
Xiaomi SU7 Ultra20260819_145453.066.jpg,03:56.72,87
Xiaomi SU7 Ultra20260819_145454.066.jpg,03:57.72,78
Xiaomi SU7 Ultra20260819_145455.065.jpg,03:58.72,89
Xiaomi SU7 Ultra20260819_145456.067.jpg,03:59.72,110
Xiaomi SU7 Ultra20260819_145457.067.jpg,04:00.72,131
Xiaomi SU7 Ultra20260819_145458.066.jpg,04:01.72,153
Xiaomi SU7 Ultra20260819_145459.065.jpg,04:02.72,174
Xiaomi SU7 Ultra20260819_145500.065.jpg,04:03.72,187
Xiaomi SU7 Ultra20260819_145501.066.jpg,04:04.72,188
Xiaomi SU7 Ultra20260819_145502.067.jpg,04:05.72,152
Xiaomi SU7 Ultra20260819_145503.066.jpg,04:06.72,113
Xiaomi SU7 Ultra20260819_145504.065.jpg,04:07.72,92
Xiaomi SU7 Ultra20260819_145505.064.jpg,04:08.72,85
Xiaomi SU7 Ultra20260819_145506.064.jpg,04:09.72,85
Xiaomi SU7 Ultra20260819_145507.066.jpg,04:10.72,86
Xiaomi SU7 Ultra20260819_145508.065.jpg,04:11.72,90
Xiaomi SU7 Ultra20260819_145509.065.jpg,04:12.72,111
Xiaomi SU7 Ultra20260819_145510.064.jpg,04:13.72,133
Xiaomi SU7 Ultra20260819_145511.064.jpg,04:14.72,152
Xiaomi SU7 Ultra20260819_145512.065.jpg,04:15.72,168
Xiaomi SU7 Ultra20260819_145513.069.jpg,04:16.72,183
Xiaomi SU7 Ultra20260819_145514.067.jpg,04:17.72,198
Xiaomi SU7 Ultra20260819_145515.069.jpg,04:18.72,212
Xiaomi SU7 Ultra20260819_145516.068.jpg,04:19.72,193
Xiaomi SU7 Ultra20260819_145517.069.jpg,04:20.72,181
Xiaomi SU7 Ultra20260819_145518.065.jpg,04:21.72,176
Xiaomi SU7 Ultra20260819_145519.066.jpg,04:22.72,182
Xiaomi SU7 Ultra20260819_145520.068.jpg,04:23.72,190
Xiaomi SU7 Ultra20260819_145521.067.jpg,04:24.72,157
Xiaomi SU7 Ultra20260819_145522.068.jpg,04:25.72,146
Xiaomi SU7 Ultra20260819_145523.065.jpg,04:26.72,138
Xiaomi SU7 Ultra20260819_145524.065.jpg,04:27.72,141
Xiaomi SU7 Ultra20260819_145525.068.jpg,04:28.72,130
Xiaomi SU7 Ultra20260819_145526.065.jpg,04:29.72,139
Xiaomi SU7 Ultra20260819_145527.071.jpg,04:30.72,141
Xiaomi SU7 Ultra20260819_145528.066.jpg,04:31.72,118
Xiaomi SU7 Ultra20260819_145529.041.jpg,04:32.6,111
Xiaomi SU7 Ultra20260819_145530.068.jpg,04:33.72,115
Xiaomi SU7 Ultra20260819_145531.066.jpg,04:34.72,133
Xiaomi SU7 Ultra20260819_145532.065.jpg,04:35.72,156
Xiaomi SU7 Ultra20260819_145533.068.jpg,04:36.72,175
Xiaomi SU7 Ultra20260819_145534.060.jpg,04:37.72,190
Xiaomi SU7 Ultra20260819_145535.065.jpg,04:38.72,166
Xiaomi SU7 Ultra20260819_145536.066.jpg,04:39.72,162
Xiaomi SU7 Ultra20260819_145537.064.jpg,04:40.72,158
Xiaomi SU7 Ultra20260819_145538.066.jpg,04:41.72,152
Xiaomi SU7 Ultra20260819_145539.065.jpg,04:42.72,140
Xiaomi SU7 Ultra20260819_145540.064.jpg,04:43.72,138
Xiaomi SU7 Ultra20260819_145541.064.jpg,04:44.72,137
Xiaomi SU7 Ultra20260819_145542.068.jpg,04:45.72,139
Xiaomi SU7 Ultra20260819_145543.066.jpg,04:46.72,147
