frame,t_lap,ocr
220,44.0,GPSSpeedkm/h 273
221,44.2,GPSSpeedkm/h 273
222,44.4,GPSSpeedkm/h 275
223,44.6,GPSSpeedkm/h 276
224,44.8,GPSSpeedkm/h 277
225,45.0,GPSSpeedkm/h 280
226,45.2,GPSSpeedkm/h 281
227,45.4,GPSSpeedkm/h 285
228,45.6,GPSSpeedkm/h 285
229,45.8,GPSSpeedkm/h 285
230,46.0,GPSSpeedkm/h 285
231,46.2,GPSSpeedkm/h 277
232,46.4,GPSSpeedkm/h 270
233,46.6,GPSSpeedkm/h 264
234,46.8,GPSSpeedkm/h 255
235,47.0,GPSSpeedkm/h 247
236,47.2,GPSSpeedkm/h 241
237,47.4,GPSSpeedkm/h 232
238,47.6,GPSSpeedkm/h 225
239,47.8,GPSSpeedkm/h 218
240,48.0,GPSSpeedkm/h 214
241,48.2,GPSSpeedkm/h 210
242,48.4,GPSSpeedkm/h 207
243,48.6,GPSSpeedkm/h 206
244,48.8,GPSSpeedkm/h 205
245,49.0,GPSSpeedkm/h 204 
246,49.2,GPSSpeedkm/h 204 
247,49.4,GPSSpeedkm/h 205
248,49.6,GPSSpeedkm/h 207
249,49.8,GPSSpeedkm/h 208
250,50.0,GPSSpeedkm/h 211
251,50.2,GPSSpeedkm/h 212
252,50.4,GPSSpeedkm/h 215
253,50.6,GPSSpeedkm/h 218
254,50.8,GPSSpeedkm/h 219
255,51.0,GPSSpeedkm/h 221
256,51.2,GPSSpeedkm/h 222 
257,51.4,GPSSpeedkm/h 225
258,51.6,GPSSpeedkm/h 227
259,51.8,GPSSpeedkm/h 230
260,52.0,GPSSpeedkm/h 232
261,52.2,GPSSpeedkm/h 235
262,52.4,GPSSpeedkm/h 238
263,52.6,GPSSpeedkm/h 241
264,52.8,GPSSpeedkm/h 243
265,53.0,GPSSpeedkm/h 246
266,53.2,GPSSpeedkm/h 248
267,53.4,GPSSpeedkm/h 250
268,53.6,GPSSpeedkm/h 253
269,53.8,GPSSpeedkm/h 256
270,54.0,GPSSpeedkm/h 258
271,54.2,GPSSpeedkm/h 260
272,54.4,GPSSpeedkm/h 264
273,54.6,GPSSpeedkm/h 265
274,54.8,GPSSpeedkm/h 267
275,55.0,GPSSpeedkm/h 270
276,55.2,GPSSpeedkm/h 272
277,55.4,GPSSpeedkm/h 274
278,55.6,GPSSpeedkm/h 276
279,55.8,GPSSpeedkm/h 279
280,56.0,GPSSpeedkm/h 281
281,56.2,GPSSpeedkm/h 282
282,56.4,GPSSpeedkm/h 285
283,56.6,GPSSpeedkm/h 286
284,56.8,GPSSpeedkm/h 289
285,57.0,GPSSpeedkm/h 290
286,57.2,GPSSpeedkm/h 290
287,57.4,GPSSpeedkm/h 294
288,57.6,GPSSpeedkm/h 297
289,57.8,GPSSpeedkm/h 299
290,58.0,GPSSpeedkm/h 301
291,58.2,GPSSpeedkm/h 303
292,58.4,GPSSpeedkm/h 306
293,58.6,GPSSpeedkm/h 309
294,58.8,GPSSpeedkm/h 310
295,59.0,GPSSpeedkm/h 312
296,59.2,GPSSpeedkm/h 314
297,59.4,GPSSpeedkm/h 316
298,59.6,GPSSpeedkm/h 318
299,59.8,GPSSpeedkm/h 319
300,60.0,GPSSpeedkm/h 319
301,60.2,GPSSpeedkm/h 320
302,60.4,GPSSpeedkm/h 321
303,60.6,GPSSpeedkm/h 322
304,60.8,GPSSpeedkm/h 323
305,61.0,GPSSpeedkm/h 324
306,61.2,GPSSpeedkm/h 325
307,61.4,GPSSpeedkm/h 325
308,61.6,GPSSpeedkm/h 326
309,61.8,GPSSpeedkm/h 327
310,62.0,GPSSpeedkm/h 328
311,62.2,GPSSpeedkm/h 329
312,62.4,GPSSpeedkm/h 330
313,62.6,GPSSpeedkm/h 330
314,62.8,GPSSpeedkm/h 324
315,63.0,GPSSpeedkm/h 312
316,63.2,GPSSpeedkm/h 302
317,63.4,GPSSpeedkm/h 286
318,63.6,GPSSpeedkm/h 276
319,63.8,GPSSpeedkm/h 265
320,64.0,GPSSpeedkm/h 257
321,64.2,GPSSpeedkm/h 250
322,64.4,GPSSpeedkm/h 245
323,64.6,GPSSpeedkm/h 240
324,64.8,GPSSpeedkm/h 235
325,65.0,GPSSpeedkm/h 232
326,65.2,GPSSpeedkm/h 231
327,65.4,GPSSpeedkm/h 234
328,65.6,GPSSpeedkm/h 236
329,65.8,GPSSpeedkm/h 239
330,66.0,GPSSpeedkm/h 241
331,66.2,GPSSpeedkm/h 243
332,66.4,GPSSpeedkm/h 245
333,66.6,GPSSpeedkm/h 249
334,66.8,GPSSpeedkm/h 250
335,67.0,GPSSpeedkm/h 252
336,67.2,GPSSpeedkm/h 253
337,67.4,GPSSpeedkm/h 247
338,67.6,GPSSpeedkm/h 239
339,67.8,GPSSpeedkm/h 225
340,68.0,GPSSpeedkm/h 213
341,68.2,GPSSpeedkm/h 203
342,68.4,GPSSpeedkm/h 194
343,68.6,GPSSpeedkm/h 182
344,68.8,GPSSpeedkm/h 175
345,69.0,GPSSpeedkm/h 164
346,69.2,GPSSpeedkm/h 155
347,69.4,GPSSpeedkm/h 146
348,69.6,GPSSpeedkm/h 138
349,69.8,GPSSpeedkm/h 131
350,70.0,GPSSpeedkm/h 128
351,70.2,GPSSpeedkm/h 125
352,70.4,GPSSpeedkm/h 123
353,70.6,GPSSpeedkm/h 120
354,70.8,GPSSpeedkm/h 117
355,71.0,GPSSpeedkm/h 114
356,71.2,GPSSpeedkm/h 112
357,71.4,GPSSpeedkm/h 111
358,71.6,GPSSpeedkm/h 110
359,71.8,GPSSpeedkm/h 108
360,72.0,GPSSpeedkm/h 108
