t_s,speed_kmh
175.80,168.0
176.00,175.0
176.40,180.0
176.60,186.0
176.80,190.0
177.20,199.0
177.40,202.0
177.60,207.0
178.00,215.0
178.20,218.0
178.40,222.0
178.60,226.0
178.80,229.0
179.00,232.0
179.20,235.0
179.40,237.0
179.60,239.0
180.80,250.0
181.00,252.0
181.40,257.0
181.60,259.0
181.80,261.0
182.20,265.0
182.40,267.0
182.60,267.0
182.80,267.0
183.00,267.0
183.20,268.0
183.40,268.0
183.60,269.0
183.80,270.0
184.00,272.0
184.20,273.0
184.60,275.0
184.80,276.0
185.00,277.0
185.20,277.0
185.40,278.0
185.60,279.0
185.80,281.0
186.20,285.0
186.40,288.0
186.60,289.0
186.80,290.0
187.00,290.0
187.20,290.0
187.40,292.0
187.60,293.0
187.80,293.0
188.00,292.0
188.20,289.0
188.40,293.0
188.60,292.0
188.80,290.0
189.40,292.0
189.60,293.0
189.80,293.0
190.20,295.0
190.60,297.0
190.80,298.0
191.00,298.0
191.20,299.0
191.40,300.0
191.60,301.0
191.80,303.0
192.00,303.0
192.20,303.0
192.80,283.0
193.40,307.0
193.60,309.0
194.20,311.0
194.40,311.0
194.80,308.0
195.00,307.0
195.20,306.0
195.60,303.0
195.80,302.0
196.60,263.0
197.00,287.0
197.20,277.0
197.60,263.0
198.20,239.0
198.40,227.0
198.60,220.0
198.80,215.0
199.00,210.0
199.20,208.0
199.40,208.0
199.60,207.0
199.80,205.0
200.00,203.0
200.40,206.0
200.60,209.0
201.00,213.0
201.20,215.0
201.40,218.0
201.80,222.0
202.00,225.0
202.20,228.0
202.40,230.0
202.60,233.0
202.80,235.0
203.00,238.0
204.40,252.0
204.60,253.0
204.80,250.0
205.20,237.0
205.40,231.0
205.60,223.0
205.80,218.0
206.20,212.0
206.80,212.0
207.40,215.0
207.60,217.0
207.80,220.0
208.00,222.0
208.20,222.0
208.40,227.0
208.60,231.0
208.80,233.0
209.00,235.0
209.20,228.0
209.40,220.0
209.80,203.0
210.00,192.0
210.20,181.0
210.40,169.0
210.60,159.0
211.20,132.0
211.40,125.0
211.60,120.0
212.00,113.0
212.40,109.0
212.60,105.0
212.80,102.0
213.00,99.0
213.60,92.0
213.80,92.0
214.00,92.0
214.60,97.0
214.80,99.0
215.00,103.0
215.20,107.0
215.60,116.0
215.80,120.0
216.00,129.0
216.20,135.0
217.00,157.0
217.40,168.0
217.60,172.0
217.80,176.0
218.00,180.0
218.40,186.0
219.20,202.0
219.40,206.0
219.60,210.0
219.80,213.0
220.00,217.0
220.20,212.0
220.80,183.0
221.20,123.0
221.60,139.0
221.80,131.0
222.20,123.0
222.40,111.0
222.60,108.0
222.80,105.0
223.00,99.0
223.20,93.0
223.40,92.0
223.60,93.0
223.80,83.0
224.00,90.0
224.60,92.0
224.80,83.0
225.20,90.0
225.40,89.0
225.60,89.0
225.80,90.0
226.60,63.0
227.00,105.0
227.20,111.0
227.60,123.0
227.80,128.0
228.20,123.0
228.80,183.0
229.20,173.0
229.40,178.0
229.60,183.0
229.80,183.0
230.40,199.0
230.60,202.0
230.80,206.0
231.00,210.0
231.40,218.0
231.60,221.0
231.80,222.0
232.00,228.0
232.20,231.0
232.40,223.0
232.80,238.0
233.40,223.0
233.60,223.0
233.80,213.0
234.00,205.0
234.20,200.0
234.80,183.0
235.60,201.0
236.00,205.0
236.40,206.0
236.60,209.0
237.20,215.0
237.40,216.0
237.60,213.0
237.80,207.0
238.00,195.0
238.20,185.0
238.60,170.0
238.80,165.0
239.00,160.0
239.60,150.0
239.80,150.0
240.00,150.0
240.40,160.0
240.60,159.0
241.20,223.0
241.80,283.0
242.20,150.0
242.60,163.0
242.80,160.0
243.20,123.0
243.80,183.0
244.20,223.0
244.80,283.0
245.20,123.0
245.40,120.0
245.80,183.0
246.20,125.0
246.40,131.0
246.60,137.0
247.20,123.0
247.60,163.0
247.80,173.0
248.00,179.0
248.20,185.0
248.40,188.0
248.80,183.0
249.20,202.0
249.40,206.0
249.60,211.0
249.80,215.0
250.00,215.0
250.20,210.0
250.40,201.0
250.60,210.0
250.80,210.0
251.20,189.0
251.40,189.0
251.80,183.0
252.20,212.0
252.60,212.0
252.80,212.0
253.00,213.0
253.20,213.0
253.40,217.0
253.60,213.0
253.80,213.0
254.20,168.0
255.00,215.0
255.20,215.0
255.60,215.0
255.80,215.0
256.20,160.0
256.40,159.0
256.60,159.0
256.80,159.0
257.00,158.0
257.20,158.0
257.40,160.0
257.60,163.0
257.80,168.0
258.00,176.0
258.20,182.0
258.60,192.0
258.80,183.0
259.00,193.0
259.20,182.0
259.60,163.0
260.00,220.0
260.20,220.0
260.40,220.0
260.60,220.0
260.80,220.0
261.00,221.0
261.20,221.0
261.40,221.0
261.60,221.0
261.80,221.0
262.00,222.0
262.20,222.0
262.40,222.0
262.60,222.0
262.80,222.0
263.00,223.0
263.20,223.0
263.40,223.0
263.60,223.0
263.80,223.0
264.20,185.0
264.40,181.0
265.00,225.0
265.20,225.0
265.40,225.0
265.60,225.0
265.80,225.0
266.20,136.0
266.40,133.0
266.60,132.0
266.80,131.0
267.00,130.0
267.20,131.0
267.40,133.0
267.60,136.0
267.80,139.0
268.00,128.0
268.20,128.0
268.40,128.0
268.60,128.0
268.80,128.0
269.00,129.0
269.20,129.0
269.40,129.0
269.60,129.0
269.80,129.0
270.00,130.0
270.20,130.0
270.40,130.0
270.60,130.0
270.80,130.0
271.00,131.0
271.20,131.0
271.40,131.0
271.60,131.0
271.80,131.0
272.00,132.0
272.20,132.0
272.40,132.0
272.60,132.0
272.80,132.0
273.00,133.0
273.20,133.0
273.40,133.0
273.60,133.0
273.80,133.0
274.20,223.0
274.60,188.0
274.80,183.0
275.20,158.0
275.60,135.0
275.80,135.0
276.00,133.0
276.20,129.0
276.40,122.0
276.80,136.0
277.00,137.0
277.20,137.0
277.40,137.0
277.60,137.0
277.80,137.0
278.00,138.0
278.20,138.0
278.40,138.0
278.60,138.0
278.80,138.0
279.00,139.0
279.20,139.0
279.40,139.0
279.60,139.0
279.80,139.0
280.40,178.0
280.60,182.0
280.80,183.0
281.20,223.0
281.80,283.0
282.20,138.0
282.40,133.0
282.60,129.0
282.80,125.0
283.00,122.0
283.20,123.0
283.80,109.0
284.00,106.0
284.20,107.0
284.40,109.0
284.80,83.0
285.40,137.0
285.80,183.0
286.20,123.0
286.80,183.0
