lap_t,speed
39.400,99
39.440,99
39.480,99
39.520,99
39.560,99
39.600,100
39.640,100
39.680,100
39.720,100
39.760,100
39.800,101
39.840,101
39.880,101
39.920,102
39.960,102
40.000,103
40.040,103
40.080,103
40.120,104
40.160,104
40.200,106
40.240,106
40.280,106
40.320,107
40.360,107
40.400,109
40.440,109
40.480,109
40.520,110
40.560,110
40.600,111
40.640,111
40.680,111
40.720,113
40.760,113
40.800,115
40.840,115
40.880,115
40.920,117
40.960,117
41.000,119
41.040,119
41.080,119
41.120,121
41.160,121
41.200,122
41.240,122
41.280,122
41.320,123
41.360,123
41.400,125
41.440,125
41.480,125
41.520,126
41.560,126
41.600,128
41.640,128
41.680,128
41.720,129
41.760,129
41.800,131
41.840,131
41.880,131
41.920,132
41.960,132
42.000,134
42.040,134
42.080,134
42.120,136
42.160,136
42.200,139
42.240,139
42.280,139
42.320,141
42.360,141
42.400,144
42.440,144
42.480,144
42.520,147
42.560,147
42.600,149
42.640,149
42.680,149
42.720,152
42.760,152
42.800,155
42.840,155
42.880,155
42.920,158
42.960,158
43.000,161
43.040,161
43.080,161
43.120,163
43.160,163
43.200,166
43.240,166
43.280,166
43.320,168
43.360,168
43.400,170
43.440,170
43.480,170
43.520,173
43.560,173
43.600,174
43.640,174
43.680,174
43.720,177
43.760,177
43.800,179
43.840,179
43.880,179
43.920,182
43.960,182
44.000,184
44.040,184
44.080,184
44.120,188
44.160,188
44.200,190
44.240,190
44.280,190
44.320,193
44.360,193
44.400,195
44.440,195
44.480,195
44.520,198
44.560,198
44.600,201
44.640,201
44.680,201
44.720,204
44.760,204
44.800,206
44.840,206
44.880,206
44.920,209
44.960,209
45.000,211
45.040,211
45.080,211
45.120,213
45.160,213
45.200,215
45.240,215
45.280,215
45.320,218
45.360,218
45.400,220
45.440,220
45.480,220
45.520,222
45.560,222
45.600,
45.640,224
45.680,224
45.720,226
45.760,226
45.800,
45.840,228
45.880,228
45.920,231
45.960,231
46.000,233
46.040,233
46.080,233
46.120,235
46.160,235
46.200,236
46.240,236
46.280,236
46.320,238
46.360,238
46.400,240
46.440,240
46.480,240
46.520,242
46.560,242
46.600,243
46.640,243
46.680,243
46.720,245
46.760,245
46.800,246
46.840,246
46.880,246
46.920,248
46.960,248
47.000,249
47.040,249
47.080,249
47.120,251
47.160,251
47.200,252
47.240,252
47.280,252
47.320,253
47.360,253
47.400,253
47.440,253
47.480,253
47.520,253
47.560,253
47.600,253
47.640,253
47.680,253
47.720,253
47.760,253
47.800,254
47.840,254
47.880,254
47.920,255
47.960,255
48.000,256
48.040,256
48.080,256
48.120,256
48.160,256
48.200,257
48.240,257
48.280,257
48.320,258
48.360,258
48.400,259
48.440,259
48.480,259
48.520,
48.560,261
48.600,262
48.640,262
48.680,262
48.720,265
48.760,265
48.800,266
48.840,266
48.880,266
48.920,267
48.960,267
49.000,269
49.040,269
49.080,269
49.120,269
49.160,269
49.200,
49.240,271
49.280,271
49.320,
49.360,
49.400,274
49.440,274
49.480,274
49.520,275
49.560,275
49.600,276
49.640,276
49.680,276
49.720,278
49.760,278
49.800,278
49.840,278
49.880,278
49.920,277
49.960,277
50.000,273
50.040,273
50.080,273
50.120,269
50.160,269
50.200,266
50.240,266
50.280,266
50.320,260
50.360,260
50.400,254
50.440,254
50.480,254
50.520,248
50.560,248
50.600,242
50.640,242
50.680,242
50.720,236
50.760,236
50.800,230
50.840,230
50.880,230
50.920,
50.960,
51.000,226
51.040,
51.080,
51.120,225
51.160,225
51.200,
51.240,223
51.280,
51.320,
51.360,
51.400,220
51.440,220
51.480,220
51.520,218
51.560,218
51.600,215
51.640,215
51.680,215
51.720,214
51.760,214
51.800,212
51.840,212
51.880,212
51.920,211
51.960,211
52.000,208
52.040,208
52.080,208
52.120,206
52.160,206
52.200,204
52.240,204
52.280,204
52.320,201
52.360,201
52.400,198
52.440,198
52.480,198
52.520,195
52.560,195
52.600,191
52.640,191
52.680,191
52.720,188
52.760,188
52.800,186
52.840,186
52.880,186
52.920,184
52.960,184
53.000,182
53.040,182
53.080,182
53.120,180
53.160,180
53.200,177
53.240,177
53.280,177
53.320,175
53.360,175
53.400,174
53.440,174
53.480,174
53.520,173
53.560,173
53.600,172
53.640,172
53.680,172
53.720,171
53.760,171
53.800,171
53.840,171
53.880,171
53.920,170
53.960,170
54.000,171
54.040,171
54.080,171
54.120,172
54.160,172
54.200,173
54.240,173
54.280,173
54.320,173
54.360,173
54.400,174
54.440,174
54.480,174
54.520,175
54.560,175
54.600,175
54.640,175
54.680,175
54.720,177
54.760,177
54.800,178
54.840,178
54.880,178
54.920,179
54.960,179
55.000,179
55.040,179
55.080,179
55.120,180
55.160,180
55.200,181
55.240,181
55.280,181
55.320,182
55.360,182
55.400,183
55.440,183
55.480,183
55.520,185
55.560,185
55.600,186
55.640,186
55.680,186
55.720,187
55.760,187
55.800,188
55.840,188
55.880,188
55.920,189
55.960,189
56.000,191
56.040,191
56.080,191
56.120,191
56.160,191
56.200,191
56.240,191
56.280,191
56.320,191
56.360,191
56.400,191
56.440,191
56.480,191
56.520,191
56.560,191
56.600,192
56.640,192
56.680,192
56.720,193
56.760,193
56.800,194
56.840,194
56.880,194
56.920,195
56.960,195
57.000,197
57.040,197
57.080,197
57.120,198
57.160,198
57.200,200
57.240,200
57.280,200
57.320,202
57.360,202
57.400,203
57.440,203
57.480,203
57.520,204
57.560,204
57.600,207
57.640,207
57.680,207
57.720,208
57.760,208
57.800,210
57.840,210
57.880,210
57.920,212
57.960,212
58.000,214
58.040,214
58.080,214
58.120,216
58.160,216
58.200,217
58.240,217
58.280,217
58.320,219
58.360,219
58.400,221
58.440,221
58.480,221
58.520,223
58.560,223
58.600,224
58.640,224
58.680,224
58.720,226
58.760,226
58.800,228
58.840,228
58.880,228
58.920,229
58.960,229
59.000,230
59.040,230
59.080,230
59.120,232
59.160,232
59.200,
59.240,
59.280,
59.320,235
59.360,235
59.400,236
59.440,236
59.480,236
59.520,237
59.560,237
59.600,238
59.640,238
59.680,238
59.720,239
59.760,239
59.800,
59.840,
59.880,
59.920,242
59.960,242
60.000,244
60.040,244
60.080,244
60.120,245
60.160,245
60.200,247
60.240,247
60.280,247
60.320,248
60.360,248
60.400,250
60.440,250
60.480,250
60.520,251
60.560,251
60.600,253
60.640,253
60.680,253
60.720,254
60.760,254
60.800,255
60.840,255
60.880,255
60.920,257
60.960,257
61.000,258
61.040,258
61.080,258
61.120,259
61.160,259
61.200,260
61.240,260
61.280,260
61.320,262
61.360,262
61.400,263
61.440,263
61.480,263
61.520,265
61.560,265
61.600,265
61.640,265
61.680,265
61.720,267
61.760,267
61.800,268
61.840,268
61.880,268
61.920,269
61.960,269
62.000,270
62.040,270
62.080,270
62.120,272
62.160,272
62.200,273
62.240,273
62.280,273
62.320,273
62.360,273
62.400,275
62.440,275
62.480,275
62.520,276
62.560,276
62.600,276
62.640,276
62.680,276
62.720,277
62.760,
62.800,279
62.840,279
62.880,279
62.920,280
62.960,280
63.000,281
63.040,281
63.080,281
63.120,282
63.160,282
63.200,283
63.240,283
63.280,283
63.320,284
63.360,284
63.400,286
63.440,286
63.480,286
63.520,287
63.560,287
63.600,288
63.640,288
63.680,288
63.720,289
63.760,289
63.800,289
63.840,289
63.880,289
63.920,290
63.960,290
64.000,291
64.040,291
64.080,291
64.120,293
64.160,293
64.200,294
64.240,294
64.280,294
64.320,295
64.360,295
64.400,295
64.440,295
64.480,295
64.520,296
64.560,296
64.600,298
64.640,298
64.680,298
64.720,298
64.760,298
64.800,299
64.840,299
64.880,299
64.920,301
64.960,301
65.000,302
65.040,302
65.080,302
65.120,303
65.160,303
65.200,304
65.240,304
65.280,304
65.320,305
65.360,305
65.400,306
65.440,306
65.480,306
65.520,307
65.560,307
65.600,308
65.640,308
65.680,308
65.720,310
65.760,310
65.800,312
65.840,312
65.880,312
65.920,312
65.960,312
66.000,314
66.040,314
66.080,314
66.120,315
66.160,315
66.200,316
66.240,316
66.280,316
66.320,317
66.360,317
66.400,318
66.440,318
66.480,318
66.520,317
66.560,317
66.600,315
66.640,315
66.680,315
66.720,312
66.760,312
66.800,310
66.840,310
66.880,310
66.920,307
66.960,307
67.000,303
67.040,303
67.080,303
67.120,300
67.160,300
67.200,296
67.240,296
67.280,296
67.320,293
67.360,293
67.400,289
67.440,289
67.480,289
67.520,286
67.560,286
67.600,284
67.640,284
67.680,284
67.720,
67.760,
67.800,280
67.840,280
67.880,280
67.920,279
67.960,279
68.000,278
68.040,278
68.080,278
68.120,277
68.160,277
68.200,276
68.240,276
68.280,276
68.320,276
68.360,276
68.400,274
68.440,274
68.480,274
68.520,274
68.560,274
68.600,272
68.640,272
68.680,272
68.720,
68.760,271
68.800,268
68.840,268
68.880,268
68.920,264
68.960,264
69.000,260
69.040,260
69.080,260
69.120,257
69.160,257
69.200,253
69.240,253
69.280,253
69.320,249
69.360,249
69.400,245
69.440,245
69.480,245
69.520,242
69.560,242
69.600,238
69.640,238
69.680,238
69.720,234
69.760,234
69.800,232
69.840,232
69.880,232
69.920,229
69.960,229
70.000,227
70.040,227
70.080,227
70.120,224
70.160,224
70.200,222
70.240,222
70.280,222
70.320,220
70.360,220
70.400,218
70.440,218
70.480,218
70.520,215
70.560,215
70.600,214
70.640,214
70.680,214
70.720,211
70.760,211
70.800,210
70.840,210
70.880,210
70.920,209
70.960,209
71.000,208
71.040,208
71.080,208
71.120,206
71.160,206
71.200,206
71.240,206
71.280,206
71.320,205
71.360,205
71.400,204
71.440,204
71.480,204
71.520,204
71.560,204
71.600,204
71.640,204
71.680,204
71.720,204
71.760,204
71.800,204
71.840,204
71.880,204
71.920,204
71.960,204
72.000,205
72.040,205
72.080,205
72.120,204
72.160,204
72.200,204
72.240,204
72.280,204
72.320,205
72.360,205
72.400,204
72.440,204
72.480,204
72.520,205
72.560,205
72.600,206
72.640,206
72.680,206
72.720,206
72.760,206
72.800,207
72.840,207
72.880,207
72.920,207
72.960,207
73.000,208
73.040,208
73.080,208
73.120,209
73.160,209
73.200,209
73.240,209
73.280,209
73.320,210
73.360,210
73.400,211
73.440,211
73.480,211
73.520,211
73.560,211
73.600,212
73.640,212
73.680,212
73.720,213
73.760,213
73.800,214
73.840,214
73.880,214
73.920,215
73.960,215
74.000,216
74.040,216
74.080,216
74.120,219
74.160,219
74.200,221
74.240,221
74.280,221
74.320,222
74.360,222
74.400,221
74.440,221
74.480,221
74.520,218
74.560,218
74.600,215
74.640,215
74.680,215
74.720,212
74.760,212
74.800,209
74.840,209
74.880,209
74.920,205
74.960,205
75.000,
75.040,201
75.080,201
75.120,197
75.160,197
75.200,193
75.240,193
75.280,193
75.320,188
75.360,188
75.400,183
75.440,183
75.480,183
75.520,179
75.560,179
75.600,174
75.640,174
75.680,174
75.720,170
75.760,170
75.800,165
75.840,165
75.880,165
75.920,161
75.960,161
76.000,158
76.040,158
76.080,158
76.120,155
76.160,155
76.200,152
76.240,152
76.280,152
76.320,147
