组别,车号,车手,领航,车队,SS1用时,SS2用时,SS3用时,SS4用时,SS5用时,SS6用时,SS7用时,SS8用时,SS9用时,SS10用时,SS11用时,SS12用时,SS13用时,SS1后累计,SS2后累计,SS3后累计,SS4后累计,SS5后累计,SS6后累计,SS7后累计,SS8后累计,SS9后累计,SS10后累计,SS11后累计,SS12后累计,SS13后累计
T1+,223,LUCAS MORAES,DENNIS ZENZ,The Dacia Sandriders,03:11:23,04:10:55,04:10:18,05:22:55,03:58:24,03:51:20,03:49:39,04:27:07,04:18:49,04:58:21,02:57:49,03:38:26,00:49:17,03:11:23,07:22:18,11:32:36,16:55:31,20:53:55,24:45:15,28:34:54,33:02:01,37:20:50,42:19:11,45:17:00,48:55:26,49:44:43
T1+,224,BRIAN BARAGWANATH,LEONARD CREMER,CENTURY RACING FACTORY TEAM,03:16:58,04:07:22,04:40:45,05:08:43,04:15:20,04:02:21,03:58:00,04:24:23,03:58:40,05:32:40,03:05:20,03:37:21,00:46:50,03:16:58,07:24:20,12:05:05,17:13:48,21:29:08,25:31:29,29:29:29,33:53:52,37:52:32,43:25:12,46:30:32,50:07:53,50:54:43
T1+,225,CARLOS SAINZ,LUCAS CRUZ,FORD RACING,03:09:53,04:08:58,04:12:03,05:14:14,04:00:09,03:45:01,03:50:23,04:22:04,04:02:13,05:34:01,02:49:48,03:29:37,00:46:59,03:09:53,07:18:51,11:30:54,16:45:08,20:45:17,24:30:18,28:20:41,32:42:45,36:44:58,42:18:59,45:08:47,48:38:24,49:25:23
T1+,226,MATTIAS EKSTRÖM,EMIL BERGKVIST,FORD RACING,03:09:37,04:06:43,04:12:08,05:13:47,04:00:07,03:48:18,03:44:22,04:21:04,04:19:14,05:18:49,02:47:22,03:23:41,00:46:14,03:09:37,07:16:20,11:28:28,16:42:15,20:42:22,24:30:40,28:15:02,32:36:06,36:55:20,42:14:09,45:01:31,48:25:12,49:11:26
T1+,227,NANI ROMA,ALEX HARO,FORD RACING,03:10:26,04:09:04,04:11:52,05:16:29,03:54:42,03:43:59,03:50:58,04:24:13,04:02:18,05:08:39,02:55:59,03:29:14,00:48:42,03:10:26,07:19:30,11:31:22,16:47:51,20:42:33,24:26:32,28:17:30,32:41:43,36:44:01,41:52:40,44:48:39,48:17:53,49:06:35
T1+,228,MITCH GUTHRIE,KELLON WALCH,FORD RACING,03:10:49,04:11:59,04:04:32,05:31:01,03:54:46,03:47:11,03:49:17,04:25:31,04:55:55,05:05:02,03:10:19,03:22:56,01:05:00,03:10:49,07:22:48,11:27:20,16:58:21,20:53:07,24:40:18,28:29:35,32:55:06,37:51:01,42:56:03,46:06:22,49:29:18,50:34:18
T1+,232,LAIA SANZ,MAURIZIO GERINI,EBRO AUDAX MOTORSPORT,03:24:15,04:11:15,04:19:45,05:16:06,04:11:35,04:00:04,04:01:25,04:35:39,05:32:43,05:16:07,03:06:54,03:42:48,00:49:26,03:24:15,07:35:30,11:55:15,17:11:21,21:22:56,25:23:00,29:24:25,34:00:04,39:32:47,44:48:54,47:55:48,51:38:36,52:28:02
T1+,233,ISIDRE ESTEVE,JOSÉ MARÍA VILLALOBOS,REPSOL TOYOTA RALLY TEAM,03:29:14,04:42:57,04:37:22,05:52:05,04:12:10,38:15:00,,,,,,,,03:29:14,08:12:11,12:49:33,18:41:38,22:53:48,61:08:48,,,,,,,
T1+,235,RONAN CHABOT,GILLES PILLOT,OVERDRIVE RACING,03:36:24,04:29:08,04:33:29,05:36:45,04:23:42,04:26:48,04:21:21,04:47:28,04:19:59,05:25:54,03:13:53,03:49:47,00:51:19,03:36:24,08:05:32,12:39:01,18:15:46,22:39:28,27:06:16,31:27:37,36:15:05,40:35:04,46:00:58,49:14:51,53:04:38,53:55:57
T1+,236,ROMAIN DUMAS,ALEX WINOCQ,RD LIMITED,03:36:44,04:09:35,04:18:21,09:14:45,04:05:33,03:54:17,03:59:05,04:30:12,04:40:57,05:23:40,02:48:44,04:00:44,,03:36:44,07:46:19,12:04:40,21:19:25,25:24:58,29:19:15,33:18:20,37:48:32,42:29:29,47:53:09,50:41:53,54:42:37,
T1+,237,MARCOS MORAES,FABIO PEDROSO,SVR,03:40:46,04:54:03,05:04:15,06:17:29,04:18:14,04:22:56,04:25:56,52:30:00,04:30:16,06:46:04,03:16:30,04:04:53,00:57:30,03:40:46,08:34:49,13:39:04,19:56:33,24:14:47,28:37:43,33:03:39,85:33:39,90:03:55,96:49:59,100:06:29,104:11:22,105:08:52
T1+,239,SH. KHALID AL QASIMI,KHALID ALKENDI,SVR,03:38:06,04:27:41,04:20:21,05:33:06,04:13:51,04:13:25,04:12:20,04:51:46,04:42:01,05:19:27,03:05:10,03:53:30,00:54:23,03:38:06,08:05:47,12:26:08,17:59:14,22:13:05,26:26:30,30:38:50,35:30:36,40:12:37,45:32:04,48:37:14,52:30:44,53:25:07
T1+,240,JOAO FERREIRA,FILIPE PALMEIRO,TOYOTA GAZOO RACING SA,03:12:05,04:02:12,04:33:53,05:17:58,04:00:53,03:43:24,03:48:49,04:28:00,06:29:31,05:15:35,02:50:49,03:44:25,00:47:07,03:12:05,07:14:17,11:48:10,17:06:08,21:07:01,24:50:25,28:39:14,33:07:14,39:36:45,44:52:20,47:43:09,51:27:34,52:14:41
T1+,242,MIROSLAV ZAPLETAL,MAREK SYKORA,OFFROADSPORT,,,,,,,,,,,,04:00:37,00:53:01,,,,,,,,,,,,60:03:58,60:56:59
T1+,243,BINGLONG LU,HE SHA,JJ-SPORT,03:31:00,04:23:16,05:14:29,05:42:30,04:24:42,04:13:30,04:20:53,04:50:31,04:17:39,05:29:12,03:10:09,04:07:12,00:55:43,03:31:00,07:54:16,13:08:45,18:51:15,23:15:57,27:29:27,31:50:20,36:40:51,40:58:30,46:27:42,49:37:51,53:45:03,54:40:46
T1+,244,JESÚS CALLEJA,EDUARDO BLANCO,SANTANA RACING TEAM,03:42:19,04:55:36,04:44:58,05:54:23,35:45:00,,,,,,,,,03:42:19,08:37:55,13:22:53,19:17:16,55:02:16,,,,,,,,
T1+,246,KAREL TRNENY,VACLAV PRITZL,X-FORCE ACCR CZECH TEAM,03:47:01,05:01:50,04:52:06,06:31:39,04:37:30,04:29:02,04:40:04,05:31:42,04:32:55,08:24:47,03:28:25,03:59:47,00:54:52,03:47:01,08:48:51,13:40:57,20:12:36,24:50:06,29:19:08,33:59:12,39:30:54,44:03:49,52:28:36,55:57:01,59:56:48,60:51:40
T1+,247,TIM CORONEL,TOM CORONEL,TEAM Coronel,04:01:19,11:36:17,05:27:57,06:16:45,04:27:23,04:20:03,04:28:31,06:23:33,04:31:50,05:33:04,03:18:01,03:55:36,00:51:32,04:01:19,15:37:36,21:05:33,27:22:18,31:49:41,36:09:44,40:38:15,47:01:48,51:33:38,57:06:42,60:24:43,64:20:19,65:11:51
T1+,248,MARIA GAMEIRO,ROSA ROMERO,X-RAID TEAM,04:01:18,05:15:42,05:08:54,06:13:25,04:37:14,04:24:36,05:35:45,06:13:44,05:16:46,06:45:24,03:32:30,04:13:39,00:57:33,04:01:18,09:17:00,14:25:54,20:39:19,25:16:33,29:41:09,35:16:54,41:30:38,46:47:24,53:32:48,57:05:18,61:18:57,62:16:30
T1+,249,MAIK WILLEMS,JASPER RIEZEBOS,BASTION HOTELS TEAM,03:58:30,06:32:58,05:14:21,06:29:31,04:56:13,06:32:48,05:12:28,05:35:20,04:56:21,08:27:10,03:43:48,04:24:30,01:01:01,03:58:30,10:31:28,15:45:49,22:15:20,27:11:33,33:44:21,38:56:49,44:32:09,49:28:30,57:55:40,61:39:28,66:03:58,67:04:59
T1+,250,ALIYYAH KOLOC,MARCIN PASEK,Buggyra ZM Racing,40:30:00,05:23:24,34:15:00,05:49:54,04:37:49,04:21:48,05:19:32,05:04:16,,,,,,40:30:00,45:53:24,80:08:24,85:58:18,90:36:07,94:57:55,100:17:27,105:21:43,,,,,
T1+,251,MARTIN KOLOC,MIRKO BRUN,BUGGYRA ZM RACING,08:48:57,39:15:00,05:39:20,34:00:00,49:30:00,44:15:00,,,,,,,,08:48:57,48:03:57,53:43:17,87:43:17,137:13:17,181:28:17,,,,,,,
T1+,253,JANUS VAN KASTEREN,MARCEL SNIJDERS,SHIVER Offroad,03:51:14,04:26:59,05:14:58,06:35:00,06:10:27,05:08:20,07:59:51,05:12:06,04:20:51,05:20:30,03:09:39,06:41:32,00:59:38,03:51:14,08:18:13,13:33:11,20:08:11,26:18:38,31:26:58,39:26:49,44:38:55,48:59:46,54:20:16,57:29:55,64:11:27,65:11:05
T1+,254,DAVE KLAASSEN,TESSA KLAASSEN,DKR / DaklaPack Rallysport,03:48:58,05:06:21,05:02:33,09:23:44,04:44:08,08:25:28,05:19:07,05:55:54,04:41:35,07:13:41,03:33:51,08:00:18,00:56:40,03:48:58,08:55:19,13:57:52,23:21:36,28:05:44,36:31:12,41:50:19,47:46:13,52:27:48,59:41:29,63:15:20,71:15:38,72:12:18
T1+,255,YUQIAO ZHAO,HAIBO GUI,JJ-SPORT,04:28:39,05:33:52,05:38:45,06:37:17,04:51:20,04:48:14,05:08:21,05:52:58,52:30:00,60:00:00,35:30:00,45:00:00,,04:28:39,10:02:31,15:41:16,22:18:33,27:09:53,31:58:07,37:06:28,42:59:26,95:29:26,155:29:26,190:59:26,235:59:26,
